"","congressperson_name","state","party","total_net_value","subquota_description","supplier","year"
"208","JACKSON BARRETO","SE","PMDB",3000,"Automotive vehicle renting or watercraft charter","RB 1000 ALUGUEL DE VEICULOS",2009
"209","JAIME MARTINS","MG","PSD",5,"Automotive vehicle renting or watercraft charter","MULTIPLAN ADMINISTRAÇÃO DE SHOPPING CENTERS",2011
"210","JAIRO ATAÍDE","MG","DEM",25,"Automotive vehicle renting or watercraft charter","SINPETAXI",2011
"211","JAIRO CARNEIRO","BA","PP",45,"Automotive vehicle renting or watercraft charter","AEROCOOP",2009
"212","JANETE CAPIBERIBE","AP","PSB",80,"Automotive vehicle renting or watercraft charter","COOPERTAXI 202 NORTE",2012
"213","JANETE ROCHA PIETÁ","SP","PT",12,"Automotive vehicle renting or watercraft charter","COOPERTAXI 202 NORTE",2012
"214","JEFFERSON CAMPOS","SP","PSD",1004.34,"Automotive vehicle renting or watercraft charter","SEM PARAR",2011
"215","JERONIMO REIS","SE","DEM",9900,"Automotive vehicle renting or watercraft charter","VOYAGE",2010
"216","JILMAR TATTO","SP","PT",3500,"Automotive vehicle renting or watercraft charter","ARL BARROS SERVIÇOS EXECUTIVOS RENT A CAR-ME",2011
"217","JÔ MORAES","MG","PCdoB",67.4,"Automotive vehicle renting or watercraft charter","RADIO TAXI ALVORADA LTDA",2011
"218","JOÃO ALMEIDA","BA","PSDB",15,"Automotive vehicle renting or watercraft charter","SINTAXI",2009
"219","JOÃO BITTAR","MG","DEM",103,"Automotive vehicle renting or watercraft charter","COOTRAMO-MG",2012
"220","JOÃO CAMPOS","GO","PRB",11.5,"Automotive vehicle renting or watercraft charter","SINPETAXI",2010
"221","JOÃO CARLOS BACELAR","BA","PR",4.6,"Automotive vehicle renting or watercraft charter","CONCESSIONÁRIA LITORAL NORTE S/A",2010
"222","JOÃO DADO","SP","SD",7.2,"Automotive vehicle renting or watercraft charter","TRIANGULO DO SOL",2010
"223","JOÃO MAGALHÃES","MG","PMDB",40,"Automotive vehicle renting or watercraft charter","RÁDIO TÁXI VERMELHO E BRANCO",2012
"224","JOÃO MAIA","RN","PR",45,"Automotive vehicle renting or watercraft charter","SINPETÁXI",2011
"225","JOÃO PAULO CUNHA","SP","PT",48,"Automotive vehicle renting or watercraft charter","RADIO TAXI ALVORADA",2011
"226","JOÃO PIZZOLATTI","SC","PP",300,"Automotive vehicle renting or watercraft charter","ESTACIONAMENTO ALTO DA XV",2010
"227","JOAQUIM BELTRÃO","AL","PMDB",8400,"Automotive vehicle renting or watercraft charter","LOCADORA MISAL LTDA",2011
"228","JOFRAN FREJAT","DF","PR",3000,"Automotive vehicle renting or watercraft charter","KARPER ALUGUEL DE VEÍCULOS LTDA",2011
"229","JORGE BITTAR","RJ","PT",2800,"Automotive vehicle renting or watercraft charter","CARLUCHO RENT A CAR",2013
"230","JORGE BOEIRA","SC","PP",14,"Automotive vehicle renting or watercraft charter","SIMPETAXI",2012
"231","JORGE KHOURY","BA","DEM",4800,"Automotive vehicle renting or watercraft charter","LUPA TRANSPORTES COM. E SERVIÇOS LTDA",2010
"232","JORGE TADEU MUDALEN","SP","DEM",2.2,"Automotive vehicle renting or watercraft charter","CONCESS DAS RODOV.AYRTON SENNA E CARVALHO PINTO SA",2010
"233","JORGINHO MALULY","SP","DEM",2500,"Automotive vehicle renting or watercraft charter","NEVADA RENT A CAR",2010
"234","JOSÉ AIRTON CIRILO","CE","PT",5000,"Automotive vehicle renting or watercraft charter","GRANCAR VEÍCULOS LTDA",2010
"235","JOSÉ ANÍBAL","SP","PSDB",1550,"Automotive vehicle renting or watercraft charter","KARPER ALUGUEL DE VEÍCULOS S/A",2010
"236","JOSÉ C. STANGARLINI","SP","PSDB",2500,"Automotive vehicle renting or watercraft charter","CIG PRESTADORA DE SERVIÇOS",2009
"237","JOSÉ CARLOS ALELUIA","BA","DEM",5300,"Automotive vehicle renting or watercraft charter","LOGUS",2009
"238","JOSÉ CARLOS ARAÚJO","BA","PR",3300,"Automotive vehicle renting or watercraft charter","LOCADORA DE VEÍCULOS RMC LTDA.",2011
"239","JOSÉ CARLOS MACHADO","SE","DEM",3000,"Automotive vehicle renting or watercraft charter","LOCAVE LOCADORA DE VEÍCULOS",2010
"240","JOSÉ CARLOS VIEIRA","SC","PSD",200,"Automotive vehicle renting or watercraft charter","SINTAXI-DF",2009
"241","JOSE EDUARDO CARDOZO","SP","PT",8.6,"Automotive vehicle renting or watercraft charter","SP VIAS - RODOVIAS INTEGRADAS DO OESTE S.A",2009
"242","JOSÉ FERNANDO APARECIDO DE OLI","MG","PV",10100,"Automotive vehicle renting or watercraft charter","TEC LOC BRASIL - ME",2011
"243","JOSÉ GENOÍNO","SP","PT",40,"Automotive vehicle renting or watercraft charter","UNITAXI",2013
"244","JOSÉ GUIMARÃES","CE","PT",560,"Automotive vehicle renting or watercraft charter","ROTOESTE",2011
"245","JOSÉ LINHARES","CE","PP",27.15,"Automotive vehicle renting or watercraft charter","GUANABARA",2012
"246","JOSÉ MENDONÇA BEZERRA","PE","DEM",2000,"Automotive vehicle renting or watercraft charter","LOCASERV  LOCAÇÕES  E  SERVIÇOS  LTDA.",2009
"247","JOSÉ MENTOR","SP","PT",6.1,"Automotive vehicle renting or watercraft charter","RODOVIA SP 326",2013
"248","JOSÉ OTÁVIO GERMANO","RS","PP",2200,"Automotive vehicle renting or watercraft charter","KARPER ALUGUEL DE VEICULOS LTDA",2010
"249","JOSÉ PAULO TÓFFANO","SP","PV",4.6,"Automotive vehicle renting or watercraft charter","CONCESSIONARIA AUTO RAPOSO TAVARES",2010
"250","JOSÉ ROCHA","BA","PR",3.5,"Automotive vehicle renting or watercraft charter","SINART",2009
"251","JOSÉ SANTANA VASCONCELLOS","MG","PR",16700,"Automotive vehicle renting or watercraft charter","GLOBAL EXPRESS SERVIÇOS EM AVIAÇÃO LTDA",2009
"252","JOSEPH BANDEIRA","BA","PSB",20,"Automotive vehicle renting or watercraft charter","SINPETÁXI",2011
"253","JOVAIR ARANTES","GO","PTB",3150,"Automotive vehicle renting or watercraft charter","LOCADORA DE VEÍCULOS MELINA AMARAL DE OLIVEIRA",2010
"254","JULIÃO AMIN","MA","PDT",3000,"Automotive vehicle renting or watercraft charter","A NOSSA LOCADORA DE VEICULOS LTDA",2010
"255","JÚLIO CESAR","PI","PSD",6000,"Automotive vehicle renting or watercraft charter","AUTO LESTE LTDA ME",2013
"256","JÚLIO DELGADO","MG","PSB",8,"Automotive vehicle renting or watercraft charter","CONCER",2012
"257","JULIO SEMEGHINI","SP","PSDB",1500,"Automotive vehicle renting or watercraft charter","ALL CARS LOCADORA DE VEÍCULOS LTDA",2010
"258","JURANDIL JUAREZ","AP","PMDB",4000,"Automotive vehicle renting or watercraft charter","AMAZONORTE",2010
"259","JURANDY LOUREIRO","ES","PSC",1260,"Automotive vehicle renting or watercraft charter","SOMA LOCADORA DE VEÍCULOS",2009
"260","JUTAHY JUNIOR","BA","PSDB",150,"Automotive vehicle renting or watercraft charter","GRANDE VITÓRIA RÁDIO TAXI LTDA",2011
"261","LAEL VARELLA","MG","DEM",3000,"Automotive vehicle renting or watercraft charter","VILA RICA RENTACAR LTDA",2012
"262","LAERTE BESSA","DF","PR",5000,"Automotive vehicle renting or watercraft charter","VILLAGE VEICULOS LTDA",2010
"263","LAUREZ MOREIRA","TO","PSB",1800,"Automotive vehicle renting or watercraft charter","GUIATUR",2010
"264","LÁZARO BOTELHO","TO","PP",60,"Automotive vehicle renting or watercraft charter","TAXI AEROPORTO",2013
"265","LEANDRO SAMPAIO","RJ","PPS",2900,"Automotive vehicle renting or watercraft charter","CARANGOLA LOG LOGÍSTICA,TRANSPORTES E LOCAÇÕES LTD",2010
"266","LEANDRO VILELA","GO","PMDB",4000,"Automotive vehicle renting or watercraft charter","DEIVES LOCADORA DE VEÍCULOS",2010
"267","LELO COIMBRA","ES","PMDB",2500,"Automotive vehicle renting or watercraft charter","ECKO BRASIL EVENTOS CONSULTORIA LTDA",2009
"268","LÉO ALCÂNTARA","CE","PR",4950,"Automotive vehicle renting or watercraft charter","WB LOCAÇÃO DE VEICULOS LTDA",2009
"269","LÉO VIVAS","RJ","PRB",1491.6,"Automotive vehicle renting or watercraft charter","LOCALIZA RENT A CAR S/A",2010
"270","LEONARDO MONTEIRO","MG","PT",840,"Automotive vehicle renting or watercraft charter","YES ALUGUEL DE CARROS RETA AUTOMÓVEIS LTDA",2012
"271","LEONARDO QUINTÃO","MG","PMDB",109,"Automotive vehicle renting or watercraft charter","VIAÇÃO ITAPEMIRIM S/A",2011
"272","LEONARDO VILELA","GO","PSDB",7500,"Automotive vehicle renting or watercraft charter","CVAL COMERCIAL DE VEICULOS E ALUGUEIS LTDA",2011
"273","LÍDICE DA MATA","BA","PSB",146,"Automotive vehicle renting or watercraft charter","BRASIL RÁDIO TÁXI LTDA.",2010
"274","LINCOLN PORTELA","MG","PR",25,"Automotive vehicle renting or watercraft charter","SINPETAXI",2013
"275","LINDOMAR GARÇON","RO","PRB",5794.4,"Automotive vehicle renting or watercraft charter","ROVEMA LOCADORA DE VEICULOS LTDA.",2011
"276","LIRA MAIA","PA","DEM",8610,"Automotive vehicle renting or watercraft charter","TROPICAL RENT A CAR",2013
"277","LOBBE NETO","SP","PSDB",7,"Automotive vehicle renting or watercraft charter","CENTROVIAS SISTEMAS RODOVIÁRIOS S/A",2010
"278","LUCENIRA PIMENTEL","AP","PR",4500,"Automotive vehicle renting or watercraft charter","R & E LOCADORA LTDA - ME",2010
"279","LUCIANA COSTA","SP","PR",4.6,"Automotive vehicle renting or watercraft charter","CONCESSIONARIA ROTA DAS BANDEIRAS SA",2010
"280","LUCIANA GENRO","RS","PSOL",230,"Automotive vehicle renting or watercraft charter","EXECUTIVE WAY",2010
"281","LUCIANO CASTRO","RR","PR",43,"Automotive vehicle renting or watercraft charter","COOP.MISTA TRAB.MOTORISTAS AUTONOMOS TX ESP. SP",2012
"282","LÚCIO VALE","PA","PR",23048.2,"Automotive vehicle renting or watercraft charter","REBELO INDUSTRIA, COM. E NAVEGAÇÃO LTDA.",2009
"283","LUIS CARLOS HEINZE","RS","PP",6.7,"Automotive vehicle renting or watercraft charter","COVIPLAN",2012
"284","LUIZ ALBERTO","BA","PT",1300,"Automotive vehicle renting or watercraft charter","MAXTOUR",2009
"285","LUIZ BASSUMA","BA","PV",1999.8,"Automotive vehicle renting or watercraft charter","LOCADORA DE VEÍCULOS",2009
"286","LUIZ CARLOS BUSATO","RS","PTB",7,"Automotive vehicle renting or watercraft charter","TRIUNFO CONCEPA",2010
"287","LUIZ CARLOS HAULY","PR","PSDB",5.6,"Automotive vehicle renting or watercraft charter","CCR - RODONORTE.",2010
"288","LUIZ CARLOS SETIM","PR","DEM",4288,"Automotive vehicle renting or watercraft charter","BRASAL BRASÍLIA SERVIÇOS AUTOMOTORES S/A.",2011
"289","LUIZ CARREIRA","BA","DEM",132,"Automotive vehicle renting or watercraft charter","COOPERATIVA MISTA DE TRABALHO DOS MOTORISTAS AUTON",2010
"290","LUIZ COUTO","PB","PT",4350,"Automotive vehicle renting or watercraft charter","LOCACENTER - LOCADORA DE AUTOMÓVEIS LTDA.",2011
"291","LUIZ FERNANDO FARIA","MG","PP",3800,"Automotive vehicle renting or watercraft charter","KARPER RENT A CAR",2010
"292","LUIZ PAULO VELLOZO LUCAS","ES","PSDB",2700,"Automotive vehicle renting or watercraft charter","LOCAVIX ALUGUEL DE VEICULOS E TURISMO LTDA",2009
"293","LUIZ SÉRGIO","RJ","PT",2300,"Automotive vehicle renting or watercraft charter","PRIME DO BRASIL LTDA",2009
"294","LUIZA ERUNDINA","SP","PSOL",2501,"Automotive vehicle renting or watercraft charter","LOCALIZA RENT A CAR S/A.",2010
"295","LUPÉRCIO RAMOS","AM","PMDB",3180,"Automotive vehicle renting or watercraft charter","MÁXIMA SERVIÇOS E TRANSPORTE LTDA-EPP",2009
"296","MAGELA","DF","PT",4800,"Automotive vehicle renting or watercraft charter","REQUINTE AUTOLOCADORA LTDA-ME",2010
"297","MAIA FILHO","PI","PP",40,"Automotive vehicle renting or watercraft charter","LIBERTAXI GOOP",2009
"298","MAJOR FÁBIO","PB","PROS",4000,"Automotive vehicle renting or watercraft charter","WELL CAR",2012
"299","MANOEL JUNIOR","PB","PMDB",213.6,"Automotive vehicle renting or watercraft charter","LOCALIZA RENT A CAR S/A.",2009
"300","MANOEL SALVIANO","CE","PSD",1091.3,"Automotive vehicle renting or watercraft charter","VILLAGE VEICULOS LTDA.",2011
"301","MANUELA D'ÁVILA","RS","PCdoB",48,"Automotive vehicle renting or watercraft charter","PONTO DE TAXI - 606 - A.M.T.C.A.C",2013
"302","MARÇAL FILHO","MS","PMDB",750,"Automotive vehicle renting or watercraft charter","SAIANA TURISMO",2009
"303","MARCELO CASTRO","PI","PMDB",6500,"Automotive vehicle renting or watercraft charter","LUAUTO RENT A CAR LTDA",2011
"304","MARCELO GUIMARÃES FILHO","BA","PMDB",4500,"Automotive vehicle renting or watercraft charter","SIERVI LOCADORA - SILVESTRE DA SILVA MOREIRA -ME",2013
"305","MARCELO ITAGIBA","RJ","PSDB",1200,"Automotive vehicle renting or watercraft charter","VILLAGE LOCADORA",2010
"306","MARCELO ORTIZ","SP","PV",8.5,"Automotive vehicle renting or watercraft charter","CONCESS DA RODOVIA PRES DUTRA SA",2009
"307","MARCELO SERAFIM","AM","PSB",3500,"Automotive vehicle renting or watercraft charter","R. O. F FICANÇO",2010
"308","MARCELO TEIXEIRA","CE","PR",4500,"Automotive vehicle renting or watercraft charter","TRAPÉZIO LOCADORA DE VEÍCULOS & SERVIÇOS LTDA",2009
"309","MÁRCIO FRANÇA","SP","PSB",2790,"Automotive vehicle renting or watercraft charter","R&E Locadora Ltda-ME",2013
"310","MARCIO JUNQUEIRA","RR","PROS",2910,"Automotive vehicle renting or watercraft charter","LOCADORA NOSSA",2010
"311","MÁRCIO MARINHO","BA","PRB",1500,"Automotive vehicle renting or watercraft charter","CONSUPORTE TRANSPORTES E SERVIÇOS LTDA - EPP",2013
"312","MARCIO REINALDO MOREIRA","MG","PP",40,"Automotive vehicle renting or watercraft charter","SINTAXI DF",2011
"313","MARCO MAIA","RS","PT",8.5,"Automotive vehicle renting or watercraft charter","concepa",2013
"314","MARCONDES GADELHA","PB","PSC",51,"Automotive vehicle renting or watercraft charter","RÁDIO TAXI VERMELHO E BRANCO",2010
"315","MARCOS ANTONIO","PE","PRB",7800,"Automotive vehicle renting or watercraft charter","GUTEMBERG CONTABILIDADE & EMPREENDIMENTOS LTDA",2009
"316","MARCOS LIMA","MG","PMDB",2775.15,"Automotive vehicle renting or watercraft charter","LOCALIZA RENT A CAR",2010
"317","MARCOS MEDRADO","BA","PODE",4000,"Automotive vehicle renting or watercraft charter","EXCELÊNCIA EXECUTIVE CAR LOCAÇÃO DE VEÍCULOS LTDA.",2010
"318","MARCOS MONTES","MG","PSD",14,"Automotive vehicle renting or watercraft charter","TAXI RECIBO",2010
"319","MARIA DO ROSÁRIO","RS","PT",138,"Automotive vehicle renting or watercraft charter","SUL VEICULOS COMERCIO E SERVIÇOS LTDA",2009
"320","MARIA HELENA","RR","PSB",335.54,"Automotive vehicle renting or watercraft charter","LOCALIZA RENT A CAR S/A",2010
"321","MARIA LÚCIA CARDOSO","MG","PMDB",76,"Automotive vehicle renting or watercraft charter","AEROPORTO INT TANCREDO NEVES",2010
"322","MARINA MAGGESSI","RJ","PPS",6,"Automotive vehicle renting or watercraft charter","MULTIPLAN ADM. DE SHOP. CENTRES LTDA",2011
"323","MARINHA RAUPP","RO","PMDB",56,"Automotive vehicle renting or watercraft charter","ALENCAR  DE PAULA LIBANIO PONTO 231138",2010
"324","MÁRIO DE OLIVEIRA","MG","PSC",1.1,"Automotive vehicle renting or watercraft charter","AUTO PISTA FERNÃO DIAS",2010
"325","MÁRIO HERINGER","MG","PDT",4722,"Automotive vehicle renting or watercraft charter","VLG LOCAÇÃO DE VEICULOS LTDA",2010
"326","MÁRIO NEGROMONTE","BA","PP",2800,"Automotive vehicle renting or watercraft charter","SAMPAIO LOCADORA DE VEICULOS",2009
"327","MAURÍCIO QUINTELLA LESSA","AL","PR",10460,"Automotive vehicle renting or watercraft charter","STYLE RENT A CAR",2012
"328","MAURÍCIO RANDS","PE","PT",990,"Automotive vehicle renting or watercraft charter","BARRETO SANTOS LTDA",2010
"329","MAURÍCIO TRINDADE","BA","PROS",9500,"Automotive vehicle renting or watercraft charter","REVE TRANSPORTES LOCAÇÃO E SERVIÇOS LTDA",2012
"330","MAURO BENEVIDES","CE","PMDB",5000,"Automotive vehicle renting or watercraft charter","EXECUTIVE SERVICE TRANSPORTE E TURISMO LTDA",2012
"331","MAURO LOPES","MG","PMDB",1200,"Automotive vehicle renting or watercraft charter","LOCADORA DE VEICULOS FLORESTA LTDA",2013
"332","MAURO MARIANI","SC","PMDB",300,"Automotive vehicle renting or watercraft charter","SINTAXI",2011
"333","MAURO NAZIF","RO","PSB",40,"Automotive vehicle renting or watercraft charter","SINPETAXI",2012
"334","MENDES RIBEIRO FILHO","RS","PMDB",6,"Automotive vehicle renting or watercraft charter","SANTA CRUZ RODOVIAS S.A.",2010
"335","MENDONÇA PRADO","SE","DEM",480,"Automotive vehicle renting or watercraft charter","LOCALIZA RENT A CAR S/A",2012
"336","MIGUEL CORRÊA","MG","PT",38,"Automotive vehicle renting or watercraft charter","SINDICATO DOS PERMISSIONARIOS DE TAXIS E MOTORISTA",2010
"337","MIGUEL MARTINI","MG","PHS",53,"Automotive vehicle renting or watercraft charter","SINPETAXI",2010
"338","MILTON BARBOSA","BA","PSC",2600,"Automotive vehicle renting or watercraft charter","LOCARX ALUGUEL DE VEÍCULOS LTDA ME",2009
"339","MILTON VIEIRA","SP","DEM",5200,"Automotive vehicle renting or watercraft charter","STILLO AUTO LOCADORA",2010
"340","MOACIR MICHELETTO","PR","PMDB",8,"Automotive vehicle renting or watercraft charter","RODOVIA INTEGRADAS DO PARANÁ SA",2010
"341","MOISES AVELINO","TO","PMDB",2000,"Automotive vehicle renting or watercraft charter","GUIA - TURISMO, EVENTOS, LOCAÇÕES E MARKETING LTDA",2010
"342","MOREIRA MENDES","RO","PSD",2236.72,"Automotive vehicle renting or watercraft charter","ROVEMA LOCADORA DE VEÍCULOS LTDA",2012
"343","NATAN DONADON","RO","S.PART.",4012.41,"Automotive vehicle renting or watercraft charter","TARUMÃ LOCADORA DE VEICULOS & TURISMO LTDA",2012
"344","NAZARENO FONTELES","PI","PT",3000,"Automotive vehicle renting or watercraft charter","PRIMAVERA SERVIÇOS DE LOCAÇÃO DE VEÍCULOS LTDA",2009
"345","NEILTON MULIM","RJ","PR",21,"Automotive vehicle renting or watercraft charter","SINPETAXI",2010
"346","NELSON BORNIER","RJ","PMDB",14000,"Automotive vehicle renting or watercraft charter","BAN CAR DE IGUAÇU VEÍCULOS LTDA",2010
"347","NELSON GOETTEN","SC","PR",2500,"Automotive vehicle renting or watercraft charter","PLAJC COMERCIO E INTERMEDIAÇÃO DE VEÍCULOS",2010
"348","NELSON MARQUEZELLI","SP","PTB",700,"Automotive vehicle renting or watercraft charter","QUASAR LOCADORA DE VEÍCULOS LTDA.",2010
"349","NELSON MEURER","PR","PP",8.4,"Automotive vehicle renting or watercraft charter","CAMINHOS DO PARANA S/A",2012
"350","NELSON PELLEGRINO","BA","PT",600,"Automotive vehicle renting or watercraft charter","YES RENT A CAR",2010
"351","NELSON PROENÇA","RS","PPS",1400,"Automotive vehicle renting or watercraft charter","ALTERNATIVACAR",2010
"352","NELSON TRAD","MS","PMDB",9250,"Automotive vehicle renting or watercraft charter","TAIRA PRESTADORA DE SERVIÇOS LTDA-ME",2010
"353","NEUDO CAMPOS","RR","PP",3000,"Automotive vehicle renting or watercraft charter","ASSIS E VIEIRA LTDA",2010
"354","NILMAR RUIZ","TO","PEN",1810,"Automotive vehicle renting or watercraft charter","LOCALIZA",2009
"355","NILSON MOURAO","AC","PT",17,"Automotive vehicle renting or watercraft charter","CENTRAXI COOPERTRANSPA LTDA.",2009
"356","NILSON PINTO","PA","PSDB",30,"Automotive vehicle renting or watercraft charter","INFRAMERICA EST. CONC. DO AEROP. DE BRASILIA",2013
"357","ODAIR CUNHA","MG","PT",102,"Automotive vehicle renting or watercraft charter","INFRAERO",2009
"358","ODÍLIO BALBINOTTI","PR","PMDB",4000,"Automotive vehicle renting or watercraft charter","RIBEIRO E SOUZA RENT A CAR LTDA.",2012
"359","ONYX LORENZONI","RS","DEM",1620,"Automotive vehicle renting or watercraft charter","ALEMANHA VEÍCULOS LTDA",2012
"360","OSMAR JÚNIOR","PI","PCdoB",4411.64,"Automotive vehicle renting or watercraft charter","TREVO LOCADORA DE VEÍCULOS LTDA",2010
"361","OSMAR SERRAGLIO","PR","PMDB",3700,"Automotive vehicle renting or watercraft charter","CARRIER VEICULOS LTDA.",2012
"362","OSMAR TERRA","RS","PMDB",17,"Automotive vehicle renting or watercraft charter","SIND. DOS PERM. DE TÁXIS E MOT. AUX. DO DF",2012
"363","OSVALDO BIOLCHI","RS","PMDB",6,"Automotive vehicle renting or watercraft charter","SULVIAS",2009
"364","OSVALDO REIS","TO","PMDB",1600,"Automotive vehicle renting or watercraft charter","PORTAL RENT A CAR",2009
"365","OTAVIO LEITE","RJ","PSDB",40,"Automotive vehicle renting or watercraft charter","SINPETAXI",2012
